Song,Album,Form Of Media,Name Of Media
And Our Story Begins...,Last Chance  To Make Amends,,
Last Words,Last Chance  To Make Amends,,
Chapter Two,Last Chance  To Make Amends,,
Build A Bridge And Jump Off It,Last Chance  To Make Amends,,
I Do And I Dont,Last Chance  To Make Amends,,
Tonight We Dance,Last Chance  To Make Amends,,
Murders And Acquisitions,Last Chance  To Make Amends,,
What I Really Learned In Study Hall,Last Chance  To Make Amends,,
Cinder Blocks And Thank You Knots,Last Chance  To Make Amends,,
Family Unties,Last Chance  To Make Amends,,
Proximity Mines In The Complex,Safe Is Just A Shadow,,
"Buildings Burn, People Die",Safe Is Just A Shadow,,
Chris Browns Latest Hit,Safe Is Just A Shadow,,
Newtons Third Law Of Knives To The Back,Safe Is Just A Shadow,,
So This Is My Future,Safe Is Just A Shadow,,
Acceptance In The Waves,Safe Is Just A Shadow,,
Red Sky Warning,Safe Is Just A Shadow,,
The People Under The Stairs,Safe Is Just A Shadow,,
The Greatest Story Ever Told,Safe Is Just A Shadow,,
Evidence On Fire,Safe Is Just A Shadow,,
The Power In Belief,The Predator Becomes The Prey,,
Lets Bury The Hatchet... In Your Head,The Predator Becomes The Prey,,
The Coffin Is Moving,The Predator Becomes The Prey,,
The Fastest Way To A Girls Heart Is Through Her Ribcage,The Predator Becomes The Prey,,
The Product Of Hate,The Predator Becomes The Prey,,
Connect The Cuts,The Predator Becomes The Prey,,
Jonathan,The Predator Becomes The Prey,,
What I Never Learned In Study Hall,The Predator Becomes The Prey,,
So Long Steven Long,The Predator Becomes The Prey,,
What Lies Beneath,The Predator Becomes The Prey,,
My Life In Two,The Predator Becomes The Prey,,
The Nature Of The Beast ,Every Trick In The Book,Book,Animal Farm
Communion Of The Cursed,Every Trick In The Book,Book,The Exorcist
Bloodbath & Beyond,Every Trick In The Book,Book,Dracula
The Plot Sickens,Every Trick In The Book,Book,Alive: The Story Of The Andes Survivors
Star-Crossed Enemies,Every Trick In The Book,Play,Romeo & Juliet 
"Me, Myself & Hyde",Every Trick In The Book,Book,The Strange Case Of Dr. Jekyll and Mr. Hyde
Alice,Every Trick In The Book,Book,Go Ask Alice
The People In The Attic,Every Trick In The Book,Book,The Diary of Anne Frank
Tess-Timony,Every Trick In The Book,Book,Tess Of The dUrbervilles
Hell In The Hallways,Every Trick In The Book,Book,Carrie
The American Nightmare,The Silver Scream,Movie,A Nightmare On Elm Street
Thank God Its Friday,The Silver Scream,Movie,Friday The 13th
Stabbing In The Dark,The Silver Scream,Movie,Halloween
Savages,The Silver Scream,Movie,The Texas Chainsaw Massacre
The Jig Is Up,The Silver Scream,Movie,Saw
A Grave Mistake,The Silver Scream,Movie,The Crow
Rocking The Boat,The Silver Scream,Movie,Jaws
Enjoy Your Slay,The Silver Scream,Movie,The Shining
Freak Flag,The Silver Scream,Movie,The Devil Rejects
The World In My Hands,The Silver Scream,Movie,Edward Scissorhands
Merry Axe-Mas,The Silver Scream,Movie,"Silent Night, Deadly Night"
Love Bites,The Silver Scream,Movie,An American Werewolf
It Is The End,The Silver Scream,Movie,IT
Your Numbers Up,The Silver Scream,Movie ,Scream
Thriller,The Silver Scream,Movie,Night Of The Living Dead
Opening Night...,The Silver Scream 2: Welcome To Horrorwood,,
Welcome To Horrorwood,The Silver Scream 2: Welcome To Horrorwood,,
A Rash Decision,The Silver Scream 2: Welcome To Horrorwood,,
Assault & Batteries,The Silver Scream 2: Welcome To Horrorwood,,
The Shower Scene,The Silver Scream 2: Welcome To Horrorwood,Movie,Psycho
Funeral Derangements,The Silver Scream 2: Welcome To Horrorwood,,
Rainy Day,The Silver Scream 2: Welcome To Horrorwood,,
Hip To Be Scared,The Silver Scream 2: Welcome To Horrorwood,Movie,American Psycho
Take Your Pick,The Silver Scream 2: Welcome To Horrorwood,,
The Box,The Silver Scream 2: Welcome To Horrorwood,,
F.L.Y.,The Silver Scream 2: Welcome To Horrorwood,,
Wurst Vacation,The Silver Scream 2: Welcome To Horrorwood,,
Ex-Mortis,The Silver Scream 2: Welcome To Horrorwood,,
Farewell II Flesh,The Silver Scream 2: Welcome To Horrorwood,,
The Greatest Story Ever Told,The Burning,,
In The Throws Of A Moral Quandary,The Burning,,
Dead Is The New Black,The Burning,,
You Scratched My Anchor,The Burning,,
Build Your Own Disaster,The Burning,,
What I Should Have Learned In Study Hall,The Burning,,
Last Words,The Burning,,
The Coffin Is Moving,The Predator,,
Fathers Day,The Predator,,
What I Never Learned In Study Hall,The Predator,,
A Reptiles Dysfunction,The Predator,,
Someone Like You,The Predator,,
